year,cause_group,age_group,deaths,source
2022,"9- Tumor maligno del labio, de la cavidad bucal y de la faringe",1 - 14,1,INEC_CR_2022_C4
2022,"9- Tumor maligno del labio, de la cavidad bucal y de la faringe",15 - 64,49,INEC_CR_2022_C4
2022,"9- Tumor maligno del labio, de la cavidad bucal y de la faringe",65 años,58,INEC_CR_2022_C4
2022,"9- Tumor maligno del labio, de la cavidad bucal y de la faringe",Ignorada,0,INEC_CR_2022_C4
2022,"9- Tumor maligno del labio, de la cavidad bucal y de la faringe",col_7,0,INEC_CR_2022_C4
2022,"9- Tumor maligno del labio, de la cavidad bucal y de la faringe",col_8,0,INEC_CR_2022_C4
2022,"9- Tumor maligno del labio, de la cavidad bucal y de la faringe",col_9,0,INEC_CR_2022_C4
2022,"9- Tumor maligno del labio, de la cavidad bucal y de la faringe",col_10,0,INEC_CR_2022_C4
2022,"9- Tumor maligno del labio, de la cavidad bucal y de la faringe",col_11,0,INEC_CR_2022_C4
2022,10- Tumor maligno de otros órganos digestivos,col_1,2148,INEC_CR_2022_C4
2022,10- Tumor maligno de otros órganos digestivos,Menos de,0,INEC_CR_2022_C4
2022,10- Tumor maligno de otros órganos digestivos,1 - 14,0,INEC_CR_2022_C4
2022,10- Tumor maligno de otros órganos digestivos,15 - 64,757,INEC_CR_2022_C4
2022,10- Tumor maligno de otros órganos digestivos,65 años,1391,INEC_CR_2022_C4
2022,10- Tumor maligno de otros órganos digestivos,Ignorada,0,INEC_CR_2022_C4
2022,10- Tumor maligno de otros órganos digestivos,col_7,0,INEC_CR_2022_C4
2022,10- Tumor maligno de otros órganos digestivos,col_8,0,INEC_CR_2022_C4
2022,10- Tumor maligno de otros órganos digestivos,col_9,0,INEC_CR_2022_C4
2022,10- Tumor maligno de otros órganos digestivos,col_10,0,INEC_CR_2022_C4
2022,10- Tumor maligno de otros órganos digestivos,col_11,0,INEC_CR_2022_C4
2022,11- Tumor maligno de órganos respiratorios e intratoráxicos,col_1,383,INEC_CR_2022_C4
2022,11- Tumor maligno de órganos respiratorios e intratoráxicos,Menos de,0,INEC_CR_2022_C4
2022,11- Tumor maligno de órganos respiratorios e intratoráxicos,1 - 14,0,INEC_CR_2022_C4
2022,11- Tumor maligno de órganos respiratorios e intratoráxicos,15 - 64,104,INEC_CR_2022_C4
2022,11- Tumor maligno de órganos respiratorios e intratoráxicos,65 años,279,INEC_CR_2022_C4
2022,11- Tumor maligno de órganos respiratorios e intratoráxicos,Ignorada,0,INEC_CR_2022_C4
2022,11- Tumor maligno de órganos respiratorios e intratoráxicos,col_7,0,INEC_CR_2022_C4
2022,11- Tumor maligno de órganos respiratorios e intratoráxicos,col_8,0,INEC_CR_2022_C4
2022,11- Tumor maligno de órganos respiratorios e intratoráxicos,col_9,0,INEC_CR_2022_C4
2022,11- Tumor maligno de órganos respiratorios e intratoráxicos,col_10,0,INEC_CR_2022_C4
2022,11- Tumor maligno de órganos respiratorios e intratoráxicos,col_11,0,INEC_CR_2022_C4
2022,"12- Tumor maligno de los huesos, del tejido conjuntivo, de los tejidos blandos, de piel y de la mama",col_1,662,INEC_CR_2022_C4
2022,"12- Tumor maligno de los huesos, del tejido conjuntivo, de los tejidos blandos, de piel y de la mama",Menos de,0,INEC_CR_2022_C4
2022,"12- Tumor maligno de los huesos, del tejido conjuntivo, de los tejidos blandos, de piel y de la mama",1 - 14,1,INEC_CR_2022_C4
2022,"12- Tumor maligno de los huesos, del tejido conjuntivo, de los tejidos blandos, de piel y de la mama",15 - 64,293,INEC_CR_2022_C4
2022,"12- Tumor maligno de los huesos, del tejido conjuntivo, de los tejidos blandos, de piel y de la mama",65 años,366,INEC_CR_2022_C4
2022,"12- Tumor maligno de los huesos, del tejido conjuntivo, de los tejidos blandos, de piel y de la mama",Ignorada,2,INEC_CR_2022_C4
2022,"12- Tumor maligno de los huesos, del tejido conjuntivo, de los tejidos blandos, de piel y de la mama",col_7,0,INEC_CR_2022_C4
2022,"12- Tumor maligno de los huesos, del tejido conjuntivo, de los tejidos blandos, de piel y de la mama",col_8,0,INEC_CR_2022_C4
2022,"12- Tumor maligno de los huesos, del tejido conjuntivo, de los tejidos blandos, de piel y de la mama",col_9,0,INEC_CR_2022_C4
2022,"12- Tumor maligno de los huesos, del tejido conjuntivo, de los tejidos blandos, de piel y de la mama",col_10,0,INEC_CR_2022_C4
2022,"12- Tumor maligno de los huesos, del tejido conjuntivo, de los tejidos blandos, de piel y de la mama",col_11,0,INEC_CR_2022_C4
2022,13- Tumor maligno de los órganos genitourinarios,col_1,1502,INEC_CR_2022_C4
2022,13- Tumor maligno de los órganos genitourinarios,Menos de,0,INEC_CR_2022_C4
2022,13- Tumor maligno de los órganos genitourinarios,1 - 14,1,INEC_CR_2022_C4
2022,13- Tumor maligno de los órganos genitourinarios,15 - 64,347,INEC_CR_2022_C4
2022,13- Tumor maligno de los órganos genitourinarios,65 años,702,INEC_CR_2022_C4
2022,13- Tumor maligno de los órganos genitourinarios,Ignorada,2,INEC_CR_2022_C4
2022,13- Tumor maligno de los órganos genitourinarios,col_7,0,INEC_CR_2022_C4
2022,13- Tumor maligno de los órganos genitourinarios,col_8,0,INEC_CR_2022_C4
2022,13- Tumor maligno de los órganos genitourinarios,col_9,0,INEC_CR_2022_C4
2022,13- Tumor maligno de los órganos genitourinarios,col_10,0,INEC_CR_2022_C4
2022,13- Tumor maligno de los órganos genitourinarios,col_11,0,INEC_CR_2022_C4
2022,"14- Tumor maligno del ojo, encéfalo, partes del sistema nervioso y glándulas endocrinas",col_1,213,INEC_CR_2022_C4
2022,"14- Tumor maligno del ojo, encéfalo, partes del sistema nervioso y glándulas endocrinas",Menos de,0,INEC_CR_2022_C4
2022,"14- Tumor maligno del ojo, encéfalo, partes del sistema nervioso y glándulas endocrinas",1 - 14,6,INEC_CR_2022_C4
2022,"14- Tumor maligno del ojo, encéfalo, partes del sistema nervioso y glándulas endocrinas",15 - 64,104,INEC_CR_2022_C4
2022,"14- Tumor maligno del ojo, encéfalo, partes del sistema nervioso y glándulas endocrinas",65 años,103,INEC_CR_2022_C4
2022,"14- Tumor maligno del ojo, encéfalo, partes del sistema nervioso y glándulas endocrinas",Ignorada,0,INEC_CR_2022_C4
2022,"14- Tumor maligno del ojo, encéfalo, partes del sistema nervioso y glándulas endocrinas",col_7,0,INEC_CR_2022_C4
2022,"14- Tumor maligno del ojo, encéfalo, partes del sistema nervioso y glándulas endocrinas",col_8,0,INEC_CR_2022_C4
2022,"14- Tumor maligno del ojo, encéfalo, partes del sistema nervioso y glándulas endocrinas",col_9,0,INEC_CR_2022_C4
2022,"14- Tumor maligno del ojo, encéfalo, partes del sistema nervioso y glándulas endocrinas",col_10,0,INEC_CR_2022_C4
2022,"14- Tumor maligno del ojo, encéfalo, partes del sistema nervioso y glándulas endocrinas",col_11,0,INEC_CR_2022_C4
2022,"15- Tumor maligno de otros sitios, secundarios y de los no especificado",col_1,249,INEC_CR_2022_C4
2022,"15- Tumor maligno de otros sitios, secundarios y de los no especificado",Menos de,0,INEC_CR_2022_C4
2022,"15- Tumor maligno de otros sitios, secundarios y de los no especificado",1 - 14,0,INEC_CR_2022_C4
2022,"15- Tumor maligno de otros sitios, secundarios y de los no especificado",15 - 64,77,INEC_CR_2022_C4
2022,"15- Tumor maligno de otros sitios, secundarios y de los no especificado",65 años,172,INEC_CR_2022_C4
2022,"15- Tumor maligno de otros sitios, secundarios y de los no especificado",Ignorada,0,INEC_CR_2022_C4
2022,"15- Tumor maligno de otros sitios, secundarios y de los no especificado",col_7,0,INEC_CR_2022_C4
2022,"15- Tumor maligno de otros sitios, secundarios y de los no especificado",col_8,0,INEC_CR_2022_C4
2022,"15- Tumor maligno de otros sitios, secundarios y de los no especificado",col_9,0,INEC_CR_2022_C4
2022,"15- Tumor maligno de otros sitios, secundarios y de los no especificado",col_10,0,INEC_CR_2022_C4
2022,"15- Tumor maligno de otros sitios, secundarios y de los no especificado",col_11,0,INEC_CR_2022_C4
2022,"16- Tumor maligno del tejido linfático, de los órganos hematopoyéticos y de sitios múltiples independientes",col_1,532,INEC_CR_2022_C4
2022,"16- Tumor maligno del tejido linfático, de los órganos hematopoyéticos y de sitios múltiples independientes",Menos de,0,INEC_CR_2022_C4
2022,"16- Tumor maligno del tejido linfático, de los órganos hematopoyéticos y de sitios múltiples independientes",1 - 14,9,INEC_CR_2022_C4
2022,"16- Tumor maligno del tejido linfático, de los órganos hematopoyéticos y de sitios múltiples independientes",15 - 64,202,INEC_CR_2022_C4
2022,"16- Tumor maligno del tejido linfático, de los órganos hematopoyéticos y de sitios múltiples independientes",65 años,317,INEC_CR_2022_C4
2022,"16- Tumor maligno del tejido linfático, de los órganos hematopoyéticos y de sitios múltiples independientes",Ignorada,4,INEC_CR_2022_C4
2022,"16- Tumor maligno del tejido linfático, de los órganos hematopoyéticos y de sitios múltiples independientes",col_7,0,INEC_CR_2022_C4
2022,"16- Tumor maligno del tejido linfático, de los órganos hematopoyéticos y de sitios múltiples independientes",col_8,0,INEC_CR_2022_C4
2022,"16- Tumor maligno del tejido linfático, de los órganos hematopoyéticos y de sitios múltiples independientes",col_9,0,INEC_CR_2022_C4
2022,"16- Tumor maligno del tejido linfático, de los órganos hematopoyéticos y de sitios múltiples independientes",col_10,0,INEC_CR_2022_C4
2022,"16- Tumor maligno del tejido linfático, de los órganos hematopoyéticos y de sitios múltiples independientes",col_11,0,INEC_CR_2022_C4
2022,18- Tumores benignos,col_1,41,INEC_CR_2022_C4
2022,18- Tumores benignos,Menos de,0,INEC_CR_2022_C4
2022,18- Tumores benignos,1 - 14,1,INEC_CR_2022_C4
2022,18- Tumores benignos,15 - 64,11,INEC_CR_2022_C4
2022,18- Tumores benignos,65 años,29,INEC_CR_2022_C4
2022,18- Tumores benignos,Ignorada,0,INEC_CR_2022_C4
2022,18- Tumores benignos,col_7,0,INEC_CR_2022_C4
2022,18- Tumores benignos,col_8,0,INEC_CR_2022_C4
2022,18- Tumores benignos,col_9,0,INEC_CR_2022_C4
2022,18- Tumores benignos,col_10,0,INEC_CR_2022_C4
2022,18- Tumores benignos,col_11,0,INEC_CR_2022_C4
2022,19- Tumores de comportamiento incierto o desconocidos,col_1,322,INEC_CR_2022_C4
2022,19- Tumores de comportamiento incierto o desconocidos,Menos de,0,INEC_CR_2022_C4
2022,19- Tumores de comportamiento incierto o desconocidos,1 - 14,3,INEC_CR_2022_C4
2022,19- Tumores de comportamiento incierto o desconocidos,15 - 64,83,INEC_CR_2022_C4
2022,19- Tumores de comportamiento incierto o desconocidos,65 años,236,INEC_CR_2022_C4
2022,19- Tumores de comportamiento incierto o desconocidos,Ignorada,0,INEC_CR_2022_C4
2022,19- Tumores de comportamiento incierto o desconocidos,col_7,0,INEC_CR_2022_C4
