Código;Sexo;Menores de 1;1;2;3;4;5 a 9;10 a 14;15 a 19;20 a 24;25 a 29;30 a 34;35 a 39;40 a 44;45 a 49;50 a 54;55 a 59;60 a 64;65 a 69;70 a 74;75 a 79;80 a 84;85 y más;No especificada
067;Hombres;0;0;0;0;0;0;0;0;2;0;6;11;23;32;53;105;122;149;144;186;172;295;1
067;Mujeres;0;0;0;0;0;0;0;0;2;1;0;3;10;9;20;39;36;62;74;95;144;393;0
068;Hombres;0;0;0;0;0;0;0;3;4;9;11;13;21;26;38;50;86;73;97;104;111;260;1
068;Mujeres;0;0;0;0;0;0;0;2;4;4;3;8;11;15;19;19;40;46;61;77;108;371;1
069;Hombres;0;0;0;0;0;0;0;0;2;1;2;9;10;25;30;37;65;105;130;175;177;295;0
069;Mujeres;0;0;0;0;0;0;0;1;1;1;3;2;9;7;20;28;42;51;69;98;129;353;0
070;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;3;3;3;2;6;6;0
070;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;4;4;11;0
071;Hombres;0;0;0;0;0;0;0;0;0;0;1;3;2;0;5;5;5;7;8;6;9;20;0
071;Mujeres;0;0;0;0;0;0;0;0;0;1;0;2;1;2;1;2;3;4;10;6;11;18;0
073;Hombres;4;4;1;0;2;1;0;1;1;1;1;2;0;1;1;1;0;0;0;1;1;0;0
073;Mujeres;2;4;1;0;0;2;1;0;0;0;1;0;1;2;0;0;1;1;0;1;2;0;0
074;Hombres;39;14;4;4;1;0;1;1;1;1;5;6;2;7;11;10;8;23;22;18;34;101;1
074;Mujeres;35;7;4;2;2;1;1;1;0;3;5;0;2;1;6;7;9;8;17;26;44;108;0
075;Hombres;13;6;0;0;0;0;0;0;0;1;2;0;1;0;1;0;3;4;6;4;9;23;0
075;Mujeres;8;1;2;0;0;0;0;1;1;0;0;0;1;0;1;1;0;4;5;4;10;35;0
076;Hombres;1;0;0;0;0;0;2;0;0;0;0;3;0;3;3;9;3;17;16;28;51;113;1
076;Mujeres;0;1;1;0;0;0;0;1;2;1;0;2;2;0;3;6;7;14;17;22;37;132;0
077;Hombres;21;9;1;1;1;0;2;1;2;2;4;2;5;7;11;10;9;31;30;45;40;74;0
077;Mujeres;14;9;1;0;0;1;1;0;3;2;1;4;3;3;6;6;8;7;22;25;34;107;0
079;Hombres;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;4;2;3;4;1;8;0
079;Mujeres;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;2;1;1;0;5;0
080;Hombres;0;0;0;0;0;0;1;0;1;1;2;2;9;16;34;42;31;39;27;32;20;19;0
