Código;Sexo;Menores de 1;1;2;3;4;Menores de 5;5 a 9;10 a 14;15 a 19;20 a 24;25 a 29;30 a 34;35 a 39;40 a 44;45 a 49;50 a 54;55 a 59;60 a 64;65 a 69;70 a 74;75 a 79;80 a 84;85 y más;No especificada
092;Hombres;231;230;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
092;Mujeres;154;154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
093;Hombres;164;153;5;2;3;1;5;1;3;0;1;3;2;0;0;0;0;0;0;0;0;0;0;0
093;Mujeres;147;128;11;5;1;2;4;6;5;1;6;0;1;0;0;0;0;0;0;0;0;0;0;0
094;Hombres;53;36;9;5;2;1;3;4;13;14;15;8;14;13;10;16;22;19;22;31;41;38;78;2
094;Mujeres;39;25;8;3;1;2;0;3;3;6;11;2;5;10;6;8;9;9;10;19;17;28;109;3
095;Hombres;31;6;7;12;4;2;17;23;110;152;156;145;109;90;103;77;56;69;39;46;35;21;26;1
095;Mujeres;20;5;2;4;4;5;9;9;20;29;20;18;10;11;6;8;16;16;12;7;7;9;23;0
095;Hombres;8;1;1;4;1;1;2;4;22;30;40;50;33;28;36;27;21;23;12;20;15;3;10;0
095;Mujeres;6;1;0;3;0;2;4;3;3;10;9;6;5;5;5;3;6;10;7;2;1;1;3;0
095;Hombres;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
095;Hombres;0;0;0;0;0;0;0;0;3;1;2;4;7;4;5;8;4;5;6;4;5;9;7;0
095;Mujeres;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;1;1;1;2;1;3;14;0
095;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
095;Hombres;5;0;1;2;2;0;6;7;10;16;7;3;6;3;7;3;4;4;2;2;1;1;0;0
095;Mujeres;9;2;2;1;3;1;1;2;0;2;0;1;0;1;0;1;0;0;0;0;0;0;0;0
