Código;Sexo;Menores de 1;1 a 4;5 a 9;10 a 14;15 a 19;20 a 24;25 a 29;30 a 34;35 a 39;40 a 44;45 a 49;50 a 54;55 a 59;60 a 64;65 a 69;70 a 74;75 a 79;80 a 84;85 y más;No especificada
095;Hombres;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
095;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0
095;Hombres;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
095;Mujeres;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
095;Hombres;1;3;3;1;3;0;0;0;0;1;2;2;1;1;1;1;0;1;0;0
095;Mujeres;0;2;1;2;1;0;1;0;1;0;0;1;0;1;0;0;1;0;1;0
095;Hombres;0;0;0;4;8;11;8;14;5;6;6;5;7;5;2;4;5;2;1;0
095;Mujeres;0;0;0;0;1;0;2;0;0;0;1;1;0;1;1;0;0;1;0;0
095;Hombres;0;0;1;2;34;78;77;73;46;33;20;17;11;6;6;0;3;3;0;0
095;Mujeres;0;1;2;1;7;11;6;6;4;2;3;1;0;1;0;0;3;0;1;0
095;Hombres;3;2;3;4;12;25;23;16;17;17;12;10;12;11;15;6;13;6;14;1
095;Mujeres;0;2;0;3;1;2;0;4;6;2;0;2;6;1;1;2;6;3;4;0
